Market,Product,Country,Date,Retail (MT),Wholesale (MT),Currency
Bujumbura,Maize,Burundi,2/16/2012,0,447894,BIF
Bujumbura,Maize,Burundi,2/17/2012,0,450217,BIF
Bujumbura,Maize,Burundi,2/20/2012,0,446832,BIF
Bujumbura,Maize,Burundi,2/22/2012,0,449205,BIF
Bujumbura,Maize,Burundi,2/23/2012,0,448603,BIF
Bujumbura,Maize,Burundi,2/24/2012,0,449115,BIF
Bujumbura,Maize,Burundi,2/27/2012,0,445405,BIF
Bujumbura,Maize,Burundi,2/28/2012,0,446825,BIF
Bujumbura,Maize,Burundi,2/29/2012,0,451416,BIF
Bujumbura,Maize,Burundi,3/1/2012,0,451245,BIF
Bujumbura,Maize,Burundi,3/2/2012,0,470503,BIF
Bujumbura,Maize,Burundi,3/5/2012,0,470725,BIF
Bujumbura,Maize,Burundi,3/7/2012,0,468941,BIF
Bujumbura,Maize,Burundi,3/15/2012,0,469669,BIF
Bujumbura,Maize,Burundi,3/17/2012,0,490922,BIF
Bujumbura,Maize,Burundi,3/19/2012,0,460594,BIF
Bujumbura,Maize,Burundi,3/20/2012,0,464262,BIF
Bujumbura,Maize,Burundi,3/21/2012,0,498959,BIF
Bujumbura,Maize,Burundi,3/22/2012,0,499006,BIF
Bujumbura,Maize,Burundi,3/23/2012,0,499636,BIF
Bujumbura,Maize,Burundi,3/26/2012,0,495302,BIF
Bujumbura,Maize,Burundi,3/29/2012,0,498874,BIF
Bujumbura,Maize,Burundi,4/3/2012,0,491420,BIF
Bujumbura,Maize,Burundi,4/9/2012,0,518580,BIF
Bujumbura,Maize,Burundi,4/10/2012,0,494958,BIF
Bujumbura,Maize,Burundi,4/11/2012,0,507357,BIF
Bujumbura,Maize,Burundi,4/13/2012,0,489911,BIF
Bujumbura,Maize,Burundi,4/16/2012,0,491066,BIF
Bujumbura,Maize,Burundi,4/17/2012,0,499184,BIF
Bujumbura,Maize,Burundi,4/18/2012,511945,465405,BIF
Bujumbura,Maize,Burundi,4/19/2012,511151,464682,BIF
Bujumbura,Maize,Burundi,4/20/2012,521058,473689,BIF
Bujumbura,Maize,Burundi,4/23/2012,552380,502164,BIF
Bujumbura,Maize,Burundi,4/24/2012,546022,496384,BIF
Bujumbura,Maize,Burundi,4/25/2012,541094,491904,BIF
Bujumbura,Maize,Burundi,4/26/2012,540856,491687,BIF
Bujumbura,Maize,Burundi,4/27/2012,553573,503248,BIF
Bujumbura,Maize,Burundi,4/30/2012,540506,491369,BIF
Bujumbura,Maize,Burundi,5/1/2012,540590,491445,BIF
Bujumbura,Maize,Burundi,5/2/2012,540562,491420,BIF
Bujumbura,Maize,Burundi,5/3/2012,541599,492363,BIF
Bujumbura,Maize,Burundi,5/4/2012,540832,491665,BIF
Bujumbura,Maize,Burundi,5/7/2012,551315,501196,BIF
Bujumbura,Maize,Burundi,5/8/2012,546022,496384,BIF
Bujumbura,Maize,Burundi,5/9/2012,537343,488493,BIF
Bujumbura,Maize,Burundi,5/10/2012,583825,486521,BIF
Bujumbura,Maize,Burundi,5/11/2012,624425,520354,BIF
Bujumbura,Maize,Burundi,5/14/2012,588507,490423,BIF
Bujumbura,Maize,Burundi,5/15/2012,589821,491517,BIF
Bujumbura,Maize,Burundi,5/16/2012,589882,491568,BIF
Bujumbura,Maize,Burundi,5/17/2012,590354,491962,BIF
Bujumbura,Maize,Burundi,5/18/2012,591486,492905,BIF
Bujumbura,Maize,Burundi,5/21/2012,591976,493313,BIF
Bujumbura,Maize,Burundi,5/22/2012,592106,493421,BIF
Bujumbura,Maize,Burundi,5/23/2012,590692,492243,BIF
Bujumbura,Maize,Burundi,5/24/2012,596411,497009,BIF
Bujumbura,Maize,Burundi,5/25/2012,592002,493334,BIF
Bujumbura,Maize,Burundi,5/29/2012,603023,502519,BIF
Bujumbura,Maize,Burundi,5/30/2012,605741,504784,BIF
Bujumbura,Maize,Burundi,5/31/2012,593301,494417,BIF
Bujumbura,Maize,Burundi,6/4/2012,604423,503686,BIF
Bujumbura,Maize,Burundi,6/5/2012,656595,555581,BIF
Bujumbura,Maize,Burundi,6/6/2012,650000,550000,BIF
Bujumbura,Maize,Burundi,6/7/2012,701376,601180,BIF
Bujumbura,Maize,Burundi,6/8/2012,699621,599676,BIF
Bujumbura,Maize,Burundi,6/11/2012,698951,599101,BIF
Bujumbura,Maize,Burundi,6/12/2012,750497,650431,BIF
Bujumbura,Maize,Burundi,6/13/2012,858744,757716,BIF
Bujumbura,Maize,Burundi,6/14/2012,751972,651709,BIF
Bujumbura,Maize,Burundi,6/15/2012,748006,648272,BIF
Bujumbura,Maize,Burundi,6/18/2012,699999,650000,BIF
Bujumbura,Maize,Burundi,6/19/2012,687261,589082,BIF
Bujumbura,Maize,Burundi,6/22/2012,646120,596419,BIF
Bujumbura,Maize,Burundi,6/25/2012,654722,604359,BIF
Bujumbura,Maize,Burundi,6/26/2012,605960,555464,BIF
Bujumbura,Maize,Burundi,6/27/2012,593227,543792,BIF
Bujumbura,Maize,Burundi,6/28/2012,589905,540745,BIF
Bujumbura,Maize,Burundi,6/29/2012,652136,551808,BIF
Bujumbura,Maize,Burundi,7/2/2012,611856,509880,BIF
Bujumbura,Maize,Burundi,7/3/2012,609019,507516,BIF
Bujumbura,Maize,Burundi,7/4/2012,612875,510729,BIF
Bujumbura,Maize,Burundi,7/5/2012,644094,545004,BIF
Bujumbura,Maize,Burundi,7/6/2012,649319,599373,BIF
Bujumbura,Maize,Burundi,7/9/2012,658503,607850,BIF
Bujumbura,Maize,Burundi,7/10/2012,701877,601610,BIF
Bujumbura,Maize,Burundi,7/11/2012,639002,589849,BIF
Bujumbura,Maize,Burundi,7/12/2012,662269,611324,BIF
Bujumbura,Maize,Burundi,7/13/2012,650271,600249,BIF
Bujumbura,Maize,Burundi,7/16/2012,650001,550000,BIF
Bujumbura,Maize,Burundi,7/17/2012,599896,549904,BIF
Bujumbura,Maize,Burundi,7/18/2012,600244,550224,BIF
Bujumbura,Maize,Burundi,7/19/2012,611098,560174,BIF
Bujumbura,Maize,Burundi,7/20/2012,648563,548784,BIF
Bujumbura,Maize,Burundi,7/23/2012,650000,550000,BIF
Bujumbura,Maize,Burundi,7/24/2012,649512,549587,BIF
Bujumbura,Maize,Burundi,7/25/2012,652806,552374,BIF
Bujumbura,Maize,Burundi,7/26/2012,643633,544613,BIF
Bujumbura,Maize,Burundi,7/27/2012,643652,544628,BIF
Bujumbura,Maize,Burundi,7/31/2012,664754,562484,BIF
Bujumbura,Maize,Burundi,8/1/2012,659783,558278,BIF
Bujumbura,Maize,Burundi,8/2/2012,656244,555284,BIF
Bujumbura,Maize,Burundi,8/3/2012,0,0,BIF
Bujumbura,Maize,Burundi,8/6/2012,0,0,BIF
Bujumbura,Maize,Burundi,8/7/2012,0,0,BIF
Bujumbura,Maize,Burundi,8/8/2012,0,0,BIF
Bujumbura,Maize,Burundi,8/9/2012,0,0,BIF
Bujumbura,Maize,Burundi,8/10/2012,0,0,BIF
Bujumbura,Maize,Burundi,8/13/2012,702258,601935,BIF
Bujumbura,Maize,Burundi,8/14/2012,0,0,BIF
Bujumbura,Maize,Burundi,8/16/2012,633123,584421,BIF
Bujumbura,Maize,Burundi,8/17/2012,666762,615473,BIF
Bujumbura,Maize,Burundi,8/20/2012,672867,621108,BIF
Bujumbura,Maize,Burundi,8/21/2012,718053,635990,BIF
Bujumbura,Maize,Burundi,8/22/2012,718053,666762,BIF
Bujumbura,Maize,Burundi,8/23/2012,666762,718053,BIF
Bujumbura,Maize,Burundi,8/24/2012,718053,666762,BIF
Bujumbura,Maize,Burundi,8/27/2012,720076,668641,BIF
Bujumbura,Maize,Burundi,8/28/2012,719570,668171,BIF
Bujumbura,Maize,Burundi,8/29/2012,750000,649999,BIF
Bujumbura,Maize,Burundi,8/30/2012,701972,651830,BIF
Bujumbura,Maize,Burundi,8/31/2012,749999,650000,BIF
Bujumbura,Maize,Burundi,9/3/2012,700000,650000,BIF
Bujumbura,Maize,Burundi,9/4/2012,700000,650000,BIF
Bujumbura,Maize,Burundi,9/4/2012,700000,650000,BIF
Bujumbura,Maize,Burundi,9/5/2012,699017,649088,BIF
Bujumbura,Maize,Burundi,9/6/2012,701968,651829,BIF
Bujumbura,Maize,Burundi,9/7/2012,699507,649543,BIF
Bujumbura,Maize,Burundi,9/10/2012,693600,644058,BIF
Bujumbura,Maize,Burundi,9/11/2012,700000,650001,BIF
Bujumbura,Maize,Burundi,9/13/2012,704449,654132,BIF
Bujumbura,Maize,Burundi,9/14/2012,704449,654132,BIF
Bujumbura,Maize,Burundi,9/15/2012,700988,650919,BIF
Bujumbura,Maize,Burundi,9/17/2012,701977,621751,BIF
Bujumbura,Maize,Burundi,9/18/2012,701977,651837,BIF
Bujumbura,Maize,Burundi,9/19/2012,700988,650919,BIF
Bujumbura,Maize,Burundi,9/20/2012,716291,665127,BIF
Bujumbura,Maize,Burundi,9/21/2012,713822,662835,BIF
Bujumbura,Maize,Burundi,9/24/2012,718759,667419,BIF
Bujumbura,Maize,Burundi,9/25/2012,714810,663752,BIF
Bujumbura,Maize,Burundi,9/26/2012,712341,661460,BIF
Bujumbura,Maize,Burundi,9/27/2012,717278,666044,BIF
Bujumbura,Maize,Burundi,9/28/2012,716784,665585,BIF
Bujumbura,Maize,Burundi,10/1/2012,712632,661728,BIF
Bujumbura,Maize,Burundi,10/2/2012,760932,710203,BIF
Bujumbura,Maize,Burundi,10/3/2012,768229,717015,BIF
Bujumbura,Maize,Burundi,10/4/2012,770645,719269,BIF
Bujumbura,Maize,Burundi,10/5/2012,770686,719308,BIF
Bujumbura,Maize,Burundi,10/8/2012,771588,720149,BIF
Bujumbura,Maize,Burundi,10/9/2012,770132,718790,BIF
Bujumbura,Maize,Burundi,10/10/2012,763534,712632,BIF
Bujumbura,Maize,Burundi,10/11/2012,762544,711708,BIF
Bujumbura,Maize,Burundi,10/12/2012,773879,722288,BIF
Bujumbura,Maize,Burundi,10/15/2012,763653,712743,BIF
Bujumbura,Maize,Burundi,10/16/2012,785002,732669,BIF
Bujumbura,Maize,Burundi,10/17/2012,772474,720977,BIF
Bujumbura,Maize,Burundi,10/18/2012,778425,726530,BIF
Bujumbura,Maize,Burundi,10/19/2012,765876,714818,BIF
Bujumbura,Maize,Burundi,10/22/2012,764150,713207,BIF
