market,product,source,start,end,timeliness,data_length,completeness,duplicates,mode_D
Lira,Beans,EAGC-RATIN,2018-05-18,2019-10-17,223.0,1184.0,0.728,666.0,1
Lira,Peas,EAGC-RATIN,2019-07-22,2019-10-17,223.0,136.0,0.581,48.0,3
Lira,Rice,EAGC-RATIN,2017-04-06,2019-10-17,223.0,985.0,0.203,73.0,1
Lira,Maize,EAGC-RATIN,2018-01-18,2019-10-17,223.0,792.0,0.424,154.0,1
Lira,Sorghum,EAGC-RATIN,2018-11-07,2019-10-17,223.0,368.0,0.446,73.0,1
Lira,Millet,EAGC-RATIN,2018-09-21,2019-10-17,223.0,411.0,0.392,69.0,1
Meru,Barley,EAGC-RATIN,2017-08-02,2017-10-12,958.0,72.0,0.083,2.0,1
Meru,Beans,EAGC-RATIN,2018-05-16,2019-10-14,226.0,996.0,0.614,479.0,1
Meru,Peas,EAGC-RATIN,2017-12-11,2019-10-14,226.0,944.0,0.475,271.0,1
Meru,Wheat,EAGC-RATIN,2019-09-18,2019-09-18,252.0,1.0,1.0,,
Meru,Maize,EAGC-RATIN,2017-05-29,2019-10-14,226.0,886.0,0.124,37.0,1
Meru,Sorghum,EAGC-RATIN,2018-10-08,2019-09-18,252.0,367.0,0.3,41.0,1
Meru,Millet,EAGC-RATIN,2018-12-13,2019-10-14,226.0,334.0,0.359,44.0,1
Dodoma,Barley,EAGC-RATIN,2019-03-15,2019-03-15,439.0,2.0,1.0,1.0,
Dodoma,Peas,EAGC-RATIN,2018-02-02,2019-01-30,483.0,378.0,0.161,15.0,1
Dodoma,Maize,EAGC-RATIN,2018-12-13,2019-06-20,342.0,200.0,0.375,39.0,1
Dodoma,Sorghum,EAGC-RATIN,2018-10-29,2019-06-20,342.0,334.0,0.551,99.0,1
Mwanza,Beans,EAGC-RATIN,2018-05-11,2019-06-19,343.0,692.0,0.542,287.0,1
Mwanza,Beans,ACE Malawi/RATIN,2018-06-06,2018-11-21,553.0,169.0,0.024,1.0,112
Mwanza,Peas,EAGC-RATIN,2018-04-13,2019-06-19,343.0,667.0,0.546,234.0,1
Mwanza,Peas,ACE Malawi/RATIN,2017-09-18,2017-09-18,982.0,1.0,1.0,,
Mwanza,Rice,EAGC-RATIN,2018-10-29,2019-06-13,349.0,246.0,0.325,31.0,1
Mwanza,Rice,ACE Malawi/RATIN,2017-10-02,2017-10-23,947.0,22.0,0.091,1.0,
Mwanza,Wheat,EAGC-RATIN,2018-07-04,2019-06-19,343.0,429.0,0.352,78.0,1
Mwanza,Maize,EAGC-RATIN,2018-05-12,2019-06-19,343.0,497.0,0.348,93.0,1
Mwanza,Maize,ACE Malawi/RATIN,2017-09-18,2019-03-27,427.0,556.0,0.016,3.0,7
Mwanza,Sorghum,EAGC-RATIN,2018-09-27,2019-06-19,343.0,357.0,0.473,91.0,1
Mwanza,Millet,EAGC-RATIN,2018-10-04,2019-06-19,343.0,359.0,0.507,100.0,1
Kimironko,Beans,EAGC-RATIN,2018-07-03,2019-10-17,223.0,1352.0,0.8,880.0,1
Kimironko,Peas,EAGC-RATIN,2019-08-05,2019-10-17,223.0,124.0,0.661,50.0,2
Kimironko,Rice,EAGC-RATIN,2017-12-22,2019-10-17,223.0,866.0,0.417,201.0,1
Kimironko,Wheat,EAGC-RATIN,2018-06-25,2019-10-17,223.0,522.0,0.4,86.0,1
Kimironko,Maize,EAGC-RATIN,2018-12-12,2019-10-17,223.0,340.0,0.515,83.0,1
Kimironko,Sorghum,EAGC-RATIN,2018-10-26,2019-10-17,223.0,572.0,0.668,215.0,1
Kimironko,Millet,EAGC-RATIN,2018-09-07,2019-10-17,223.0,446.0,0.435,85.0,1
Makueni,Beans,EAGC-RATIN,2018-05-17,2019-09-24,246.0,654.0,0.37,158.0,1
Makueni,Peas,EAGC-RATIN,2017-12-14,2019-09-24,246.0,747.0,0.262,97.0,1
Makueni,Maize,EAGC-RATIN,2018-12-13,2019-09-24,246.0,299.0,0.241,21.0,1
Rubavu,Beans,EAGC-RATIN,2018-11-01,2019-08-05,296.0,754.0,0.82,476.0,1
Rubavu,Peas,EAGC-RATIN,2017-12-15,2019-08-05,296.0,656.0,0.43,118.0,1
Rubavu,Rice,EAGC-RATIN,2019-08-05,2019-08-05,296.0,4.0,1.0,3.0,
Rubavu,Wheat,EAGC-RATIN,2018-06-26,2019-08-05,296.0,449.0,0.399,83.0,1
Rubavu,Maize,EAGC-RATIN,2018-12-06,2019-06-27,335.0,226.0,0.584,69.0,1
Rubavu,Sorghum,EAGC-RATIN,2018-11-01,2019-08-05,296.0,295.0,0.447,71.0,1
Rubavu,Millet,EAGC-RATIN,2019-08-05,2019-08-05,296.0,3.0,1.0,2.0,
Ngozi,Beans,EAGC-RATIN,2018-07-16,2019-10-16,224.0,969.0,0.706,511.0,1
Ngozi,Peas,EAGC-RATIN,2017-12-15,2019-10-16,224.0,1174.0,0.665,503.0,1
Ngozi,Rice,EAGC-RATIN,2018-09-10,2019-10-16,224.0,626.0,0.629,224.0,1
Ngozi,Wheat,EAGC-RATIN,2018-06-27,2019-10-16,224.0,519.0,0.387,78.0,1
Ngozi,Maize,EAGC-RATIN,2018-12-05,2019-10-16,224.0,342.0,0.526,84.0,1
Ngozi,Sorghum,EAGC-RATIN,2018-11-16,2019-10-16,224.0,370.0,0.505,86.0,1
Ngozi,Millet,EAGC-RATIN,2019-08-06,2019-10-16,224.0,81.0,0.481,12.0,2
Kamembe,Beans,EAGC-RATIN,2018-10-11,2019-06-28,334.0,590.0,0.78,329.0,1
Kamembe,Peas,EAGC-RATIN,2017-12-29,2019-06-28,334.0,789.0,0.568,242.0,1
Kamembe,Rice,EAGC-RATIN,2018-12-13,2019-06-28,334.0,226.0,0.646,79.0,1
Kamembe,Maize,EAGC-RATIN,2018-12-12,2019-06-28,334.0,223.0,0.614,72.0,1
Kamembe,Sorghum,EAGC-RATIN,2018-12-12,2019-06-28,334.0,229.0,0.638,78.0,1
Ruhuha,Beans,EAGC-RATIN,2018-06-26,2018-09-21,614.0,88.0,0.091,3.0,3
