market,product,source,start,end,timeliness,data_length,completeness,duplicates,mode_D
Kisumu,Maize,EAGC-RATIN,2018-12-13,2019-10-01,239.0,319.0,0.339,38.0,1
Kisumu,Sorghum,EAGC-RATIN,2018-12-13,2019-10-01,239.0,314.0,0.315,33.0,1
Kisumu,Millet,EAGC-RATIN,2018-11-01,2019-10-02,238.0,361.0,0.294,34.0,1
Busia,Beans,EAGC-RATIN,2018-06-01,2019-06-30,332.0,1155.0,0.862,760.0,1
Busia,Rice,EAGC-RATIN,2018-12-18,2018-12-18,526.0,1.0,1.0,,
Busia,Maize,EAGC-RATIN,2018-12-08,2019-06-30,332.0,238.0,0.71,91.0,1
Busia,Sorghum,EAGC-RATIN,2018-11-03,2019-06-30,332.0,272.0,0.647,102.0,1
Busia,Millet,EAGC-RATIN,2018-09-14,2019-06-30,332.0,332.0,0.627,115.0,1
Uvira,Beans,EAGC-RATIN,2018-09-06,2019-05-24,369.0,367.0,0.458,106.0,1
Uvira,Rice,EAGC-RATIN,2018-06-28,2019-05-24,369.0,424.0,0.375,93.0,1
Uvira,Wheat,EAGC-RATIN,2018-09-04,2019-05-24,369.0,284.0,0.271,21.0,1
Uvira,Maize,EAGC-RATIN,2018-06-20,2019-05-24,369.0,394.0,0.287,55.0,1
Goma,Beans,EAGC-RATIN,2018-10-09,2019-05-28,365.0,354.0,0.568,122.0,1
Goma,Rice,EAGC-RATIN,2018-11-19,2019-05-28,365.0,240.0,0.512,49.0,1
Goma,Wheat,EAGC-RATIN,2018-07-03,2019-05-27,366.0,337.0,0.237,23.0,1
Goma,Maize,EAGC-RATIN,2018-06-21,2019-05-28,365.0,403.0,0.39,61.0,1
Goma,Sorghum,EAGC-RATIN,2018-11-05,2019-05-28,365.0,209.0,0.34,28.0,1
Goma,Millet,EAGC-RATIN,2018-09-12,2019-05-28,365.0,265.0,0.275,14.0,1
Kolwezi,Beans,EAGC-RATIN,2018-07-05,2019-05-28,365.0,397.0,0.312,69.0,1
Kolwezi,Rice,EAGC-RATIN,2018-07-05,2019-05-28,365.0,478.0,0.49,150.0,1
Kolwezi,Maize,EAGC-RATIN,2018-06-27,2019-05-28,365.0,367.0,0.278,31.0,1
Bukavu,Beans,EAGC-RATIN,2018-10-23,2019-05-28,365.0,304.0,0.53,86.0,1
Bukavu,Rice,EAGC-RATIN,2018-07-04,2019-05-28,365.0,341.0,0.282,36.0,1
Bukavu,Wheat,EAGC-RATIN,2018-08-03,2019-05-28,365.0,333.0,0.402,51.0,1
Bukavu,Maize,EAGC-RATIN,2018-07-04,2019-05-28,365.0,417.0,0.484,88.0,1
Kasumbalesa,Beans,EAGC-RATIN,2018-11-06,2019-05-24,369.0,212.0,0.241,14.0,1
Kasumbalesa,Peas,EAGC-RATIN,2018-10-03,2019-05-24,369.0,262.0,0.267,28.0,1
Kasumbalesa,Rice,EAGC-RATIN,2018-07-06,2019-05-24,369.0,324.0,0.151,16.0,1
Kasumbalesa,Wheat,EAGC-RATIN,2018-11-01,2019-05-24,369.0,215.0,0.219,14.0,1
Kasumbalesa,Maize,EAGC-RATIN,2018-07-06,2019-05-24,369.0,357.0,0.244,34.0,1
Likasi,Beans,EAGC-RATIN,2018-09-21,2019-05-28,365.0,416.0,0.589,166.0,1
Likasi,Rice,EAGC-RATIN,2018-07-11,2019-05-28,365.0,326.0,0.212,24.0,1
Likasi,Wheat,EAGC-RATIN,2018-07-13,2018-07-13,684.0,2.0,1.0,1.0,
Likasi,Maize,EAGC-RATIN,2018-07-12,2019-05-28,365.0,372.0,0.336,51.0,1
Mulindi,Beans,EAGC-RATIN,2018-10-12,2019-10-16,224.0,880.0,0.761,510.0,1
Mulindi,Peas,EAGC-RATIN,2019-09-30,2019-09-30,240.0,1.0,1.0,,
Mulindi,Rice,EAGC-RATIN,2018-10-31,2019-10-16,224.0,380.0,0.447,85.0,1
Mulindi,Wheat,EAGC-RATIN,2018-07-13,2019-10-16,224.0,498.0,0.378,94.0,1
Mulindi,Maize,EAGC-RATIN,2018-12-10,2019-10-16,224.0,336.0,0.455,74.0,1
Mulindi,Sorghum,EAGC-RATIN,2018-10-30,2019-10-16,224.0,382.0,0.45,83.0,1
Mulindi,Millet,EAGC-RATIN,2018-09-19,2019-10-16,224.0,427.0,0.41,88.0,1
Tunduma,Beans,EAGC-RATIN,2018-07-19,2019-07-01,331.0,1389.0,0.878,1041.0,1
Tunduma,Peas,EAGC-RATIN,2018-10-01,2019-07-01,331.0,381.0,0.633,107.0,1
Tunduma,Rice,EAGC-RATIN,2018-10-20,2019-07-01,331.0,276.0,0.525,71.0,1
Tunduma,Wheat,EAGC-RATIN,2018-09-27,2019-06-28,334.0,300.0,0.483,69.0,1
Tunduma,Maize,EAGC-RATIN,2018-12-13,2019-07-01,331.0,217.0,0.571,62.0,1
Tunduma,Sorghum,EAGC-RATIN,2018-09-26,2018-10-01,604.0,6.0,0.333,1.0,
Tunduma,Millet,EAGC-RATIN,2018-09-26,2019-07-01,331.0,432.0,0.688,153.0,1
Ruhengeri,Beans,EAGC-RATIN,2018-10-26,2019-10-17,223.0,622.0,0.622,265.0,1
Ruhengeri,Peas,EAGC-RATIN,2019-07-30,2019-10-17,223.0,131.0,0.649,51.0,2
Ruhengeri,Rice,EAGC-RATIN,2018-11-28,2019-10-17,223.0,382.0,0.411,58.0,1
Ruhengeri,Wheat,EAGC-RATIN,2018-08-02,2019-10-17,223.0,479.0,0.303,40.0,1
Ruhengeri,Maize,EAGC-RATIN,2018-12-12,2019-10-17,223.0,341.0,0.367,33.0,1
Ruhengeri,Sorghum,EAGC-RATIN,2018-11-05,2019-10-17,223.0,377.0,0.353,37.0,1
Ruhengeri,Millet,EAGC-RATIN,2018-09-14,2019-10-17,223.0,429.0,0.326,38.0,1
Lubumbashi,Beans,EAGC-RATIN,2018-09-12,2019-10-17,223.0,697.0,0.571,296.0,1
Lubumbashi,Peas,EAGC-RATIN,2018-09-13,2019-10-17,223.0,420.0,0.264,46.0,1
Lubumbashi,Rice,EAGC-RATIN,2018-11-01,2019-10-17,223.0,367.0,0.272,43.0,1
Lubumbashi,Maize,EAGC-RATIN,2018-09-27,2019-10-17,223.0,499.0,0.401,113.0,1
Lubumbashi,Millet,EAGC-RATIN,2018-11-13,2018-11-13,561.0,1.0,1.0,,
Kapchorwa,Beans,EAGC-RATIN,2019-08-07,2019-10-17,223.0,167.0,0.76,95.0,2
Kapchorwa,Peas,EAGC-RATIN,2019-08-16,2019-10-17,223.0,73.0,0.507,10.0,2
Kapchorwa,Rice,EAGC-RATIN,2019-08-07,2019-10-17,223.0,107.0,0.607,35.0,3
Kapchorwa,Wheat,EAGC-RATIN,2019-08-07,2019-10-17,223.0,78.0,0.41,11.0,2
Kapchorwa,Maize,EAGC-RATIN,2019-08-07,2019-10-17,223.0,88.0,0.5,16.0,2
Kapchorwa,Sorghum,EAGC-RATIN,2019-08-07,2019-10-17,223.0,81.0,0.444,9.0,2
Kapchorwa,Millet,EAGC-RATIN,2019-08-07,2019-10-17,223.0,81.0,0.457,9.0,2
Kitale,Beans,EAGC-RATIN,2019-07-31,2019-10-11,229.0,98.0,0.418,25.0,1
Kitale,Peas,EAGC-RATIN,2019-07-31,2019-10-11,229.0,97.0,0.412,24.0,1
Kitale,Maize,EAGC-RATIN,2019-07-31,2019-10-11,229.0,79.0,0.241,6.0,3
Kitale,Sorghum,EAGC-RATIN,2019-07-31,2019-10-11,229.0,76.0,0.211,5.0,3
Kitale,Millet,EAGC-RATIN,2019-07-31,2019-10-09,231.0,74.0,0.243,5.0,1
Songea,Beans,EAGC-RATIN,2019-08-16,2019-10-15,225.0,76.0,0.382,15.0,2
Songea,Rice,EAGC-RATIN,2019-08-20,2019-10-15,225.0,60.0,0.267,4.0,2
Songea,Wheat,EAGC-RATIN,2019-09-02,2019-09-02,268.0,2.0,1.0,1.0,
Songea,Maize,EAGC-RATIN,2019-08-16,2019-10-15,225.0,69.0,0.29,8.0,2
Songea,Sorghum,EAGC-RATIN,2019-08-20,2019-10-15,225.0,58.0,0.19,3.0,2
Songea,Millet,EAGC-RATIN,2019-08-16,2019-08-20,281.0,6.0,0.5,1.0,4
Kobero,Beans,EAGC-RATIN,2019-07-07,2019-10-16,224.0,169.0,0.58,67.0,2
Kobero,Peas,EAGC-RATIN,2019-07-07,2019-10-16,224.0,139.0,0.482,37.0,2
Kobero,Rice,EAGC-RATIN,2019-07-07,2019-10-16,224.0,133.0,0.459,31.0,2
Kobero,Wheat,EAGC-RATIN,2019-07-07,2019-07-07,325.0,1.0,1.0,,
Kobero,Maize,EAGC-RATIN,2019-08-16,2019-10-16,224.0,68.0,0.471,9.0,3
Kobero,Sorghum,EAGC-RATIN,2019-07-07,2019-10-16,224.0,108.0,0.333,12.0,2
Kobero,Millet,EAGC-RATIN,2019-08-19,2019-10-16,224.0,68.0,0.529,12.0,2
Gichumbi,Beans,EAGC-RATIN,2019-07-30,2019-08-31,270.0,44.0,0.318,11.0,6
Gichumbi,Peas,EAGC-RATIN,2019-07-30,2019-08-31,270.0,33.0,0.091,1.0,26
Gichumbi,Rice,EAGC-RATIN,2019-07-23,2019-08-05,296.0,16.0,0.312,2.0,7
Gichumbi,Wheat,EAGC-RATIN,2019-07-30,2019-08-31,270.0,36.0,0.167,3.0,6
Gichumbi,Maize,EAGC-RATIN,2019-07-30,2019-08-31,270.0,33.0,0.091,1.0,26
Gichumbi,Sorghum,EAGC-RATIN,2019-08-05,2019-08-31,270.0,27.0,0.074,1.0,
Gichumbi,Millet,EAGC-RATIN,2019-07-27,2019-08-31,270.0,37.0,0.108,1.0,9
Gicumbi,Beans,EAGC-RATIN,2019-07-30,2019-10-17,223.0,199.0,0.759,119.0,2
Gicumbi,Peas,EAGC-RATIN,2019-07-30,2019-10-17,223.0,127.0,0.622,47.0,2
Gicumbi,Rice,EAGC-RATIN,2019-07-23,2019-10-17,223.0,124.0,0.565,37.0,2
Gicumbi,Wheat,EAGC-RATIN,2019-07-30,2019-10-17,223.0,90.0,0.467,13.0,2
Gicumbi,Maize,EAGC-RATIN,2019-07-30,2019-10-17,223.0,98.0,0.49,18.0,2
Gicumbi,Sorghum,EAGC-RATIN,2019-08-05,2019-10-17,223.0,81.0,0.432,11.0,2
Gicumbi,Millet,EAGC-RATIN,2019-07-27,2019-10-17,223.0,93.0,0.452,13.0,2
Kigoma,Beans,EAGC-RATIN,2019-08-07,2019-10-15,225.0,137.0,0.642,67.0,2
Kigoma,Peas,EAGC-RATIN,2019-08-07,2019-10-15,225.0,96.0,0.448,26.0,3
Kigoma,Rice,EAGC-RATIN,2019-08-05,2019-10-15,225.0,75.0,0.32,5.0,3
Kigoma,Wheat,EAGC-RATIN,2019-08-06,2019-10-15,225.0,76.0,0.276,5.0,2
Kigoma,Maize,EAGC-RATIN,2019-08-05,2019-10-15,225.0,87.0,0.402,15.0,2
Kigoma,Sorghum,EAGC-RATIN,2019-08-07,2019-10-15,225.0,74.0,0.297,5.0,2
Kigoma,Millet,EAGC-RATIN,2019-08-06,2019-10-15,225.0,77.0,0.325,6.0,2
Kigali,Beans,EAGC-RATIN,2019-08-20,2019-08-20,281.0,1.0,1.0,,
